Channel Transmission Property File: khsed, capshsed, sedmd (Cal Gulch, 30m)
CHANLINKS	25
1	149
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
2	43
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
0.0e-6   0.0   0.0
3	29
0.0   0.0   0.0
